src 104.85.118.250
3: 10.100.101.60 28.114
4: 10.100.101.49 29.316
5: 69.172.135.177 29.95
6: 69.172.128.13 45.372
7: 108.60.130.141 42.352
8: 108.60.141.134 41.427
9: 69.9.32.101 41.275
10: 108.60.128.69 39.834
11: 198.32.118.102 45.323
12: 52.93.4.107 56.047
13: 52.93.4.20 40.372
14: 54.239.41.220 46.812
15: ***
16: ***
17: ***
18: 54.239.111.35 47.882
19: 205.251.244.205 45.133
20: ***
21: ***
22: ***
23: ***
24: ***
255: ***
src 54.197.238.114
1: 10.50.10.1 0.83
2: 10.50.0.1 0.381
3: 199.255.10.41 0.999
4: 10.10.50.1 1.752
5: 10.10.10.113 1.44
6: 10.10.10.173 1.398
7: 66.194.117.17 1.967
8: 64.129.238.174 11.607
9: 72.21.221.110 10.583
10: ***
11: ***
12: 54.239.110.143 556.939
13: 54.239.109.47 11.284
14: 205.251.245.250 11.564
15: ***
16: ***
17: ***
18: ***
19: ***
255: ***
src 54.197.238.114
1: 192.168.1.1 21.095
2: 10.157.0.1 10.627
3: 172.23.64.89 5.486
4: 213.248.103.73 14.446
5: 80.91.252.100 20.078
6: 62.115.115.150 23.323
7: 80.239.193.210 25.332
8: ***
9: ***
10: 54.239.110.153 188.609
11: 54.239.108.201 26.267
12: 205.251.245.244 23.01
13: ***
14: ***
15: ***
16: ***
17: ***
255: ***
src 54.197.238.114
1: 162.223.16.141 18.824
2: 204.238.76.49 0.703
3: 204.238.76.54 4.871
4: 72.21.221.41 4.904
5: ***
6: ***
7: 54.239.110.133 1959.238
8: 54.239.108.133 5.37
9: 205.251.245.244 5.183
10: ***
11: ***
12: ***
13: ***
14: ***
255: ***
src 54.197.238.114
1: 128.3.124.1 4.136
2: 131.243.244.130 0.561
3: 198.129.78.21 2.528
4: 134.55.40.5 5.26
5: 134.55.50.202 25.924
6: 134.55.49.58 36.497
7: 134.55.43.81 47.436
8: 134.55.38.162 76.881
9: 206.223.119.98 47.506
10: 52.95.62.52 51.167
11: 52.95.62.63 47.634
12: ***
13: ***
14: ***
15: ***
16: 54.239.110.231 69.107
17: 54.239.109.183 65.979
18: 205.251.245.252 65.734
19: ***
20: ***
21: ***
22: ***
23: ***
255: ***
src 54.197.238.114
1: 192.168.0.1 7.587
2: 10.0.0.1 183.087
3: ***
4: 10.100.1.1 184.182
5: 104.251.191.5 183.499
6: 63.223.32.58 223.049
7: 63.223.32.58 223.261
8: 206.223.118.110 218.074
9: 176.32.125.138 264.496
10: 176.32.125.145 225.086
11: 54.240.229.6 249.371
12: 54.240.229.170 252.911
13: 54.240.228.165 249.744
14: ***
15: ***
16: 54.239.110.209 256.194
17: 54.239.109.81 245.691
18: 205.251.245.121 253.506
19: ***
20: ***
21: ***
22: ***
23: ***
255: ***
src 54.197.238.114
1: 128.210.125.1 45.693
2: 192.5.40.10 1.574
3: 192.5.40.65 4.689
4: 192.5.40.86 2.334
5: 149.165.254.186 6.888
6: 64.57.28.10 23.556
7: 198.71.46.11 23.66
8: ***
9: ***
10: 54.239.110.135 743.612
11: 54.239.108.167 24.336
12: 205.251.245.244 24.039
13: ***
14: ***
15: ***
16: ***
17: ***
255: ***
src 54.197.238.114
1: 10.0.1.1 0.841
2: 128.4.25.1 1.382
3: 128.175.111.135 1.674
4: 128.175.111.137 2.759
5: 216.27.98.37 2.484
6: 216.27.100.18 5.858
7: 64.57.28.18 6.81
8: 198.71.46.11 7.012
9: ***
10: ***
11: 54.239.110.179 371.221
12: 54.239.111.35 7.352
13: 205.251.244.205 10.414
14: ***
15: ***
16: ***
17: ***
18: ***
255: ***
src 54.197.238.114
1: 192.168.254.254 0.893
2: 74.42.148.225 21.831
3: 74.42.151.57 21.451
4: 74.40.3.34 26.354
5: 74.40.4.142 25.39
6: 206.223.119.98 25.546
7: 52.95.62.52 31.351
8: 52.95.62.63 25.581
9: 54.239.42.61 45.788
10: 54.239.42.66 55.513
11: ***
12: ***
13: 54.239.110.209 2066.604
14: 54.239.111.97 56.767
15: 205.251.244.231 45.634
16: ***
17: ***
18: ***
19: ***
20: ***
255: ***
src 54.197.238.114
1: 192.168.0.1 9.57
2: 104.32.224.1 21.176
3: 76.167.27.181 16.936
4: 72.129.14.96 18.574
5: 72.129.13.0 24.081
